Year,ISO2,ISO3,Country,ODB.2013.C.INIT,ODB.2015.C.POLI,ODB.2015.C.MANAG,ODB.2013.C.DPL,ODB.2013.C.RTI,ODB.2013.C.CSOC,ODB.2013.C.SUPIN,ODB.2013.C.CITY,ODB.2013.C.TRAIN,FH 2017,UN.OSI 2016,ITU.NetUsers 2016,WEF.GCI.9.02 2016,WEF.GITR.8.01 2016,ODB.2013.I.GOV,ODB.2013.I.ACCOUNT,ODB.2013.I.ENV,ODB.2013.I.INC,ODB.2013.I.ECON,ODB.2013.I.ENTR,ODB.2013.D1,ODB.2013.D2,ODB.2013.D4,ODB.2013.D5,ODB.2013.D6,ODB.2013.D7,ODB.2013.D8,ODB.2013.D9,ODB.2013.D10,ODB.2013.D11,ODB.2013.D12,ODB.2013.D13,ODB.2013.D14,ODB.2013.D15,ODB.2013.D16
2017,AR,ARG,Argentina,8,7,7,7,6,6,7,8,6,82,0.71,70.97,4.13,2.58,1,3,1,0,2,5,65,5,65,80,70,5,65,85,65,40,60,75,40,60,60
2017,AU,AUS,Australia,8,9,8,7,6,8,8,8,7,98,0.98,88.24,5.29,4.33,5,5,6,6,7,8,75,80,100,95,5,90,65,100,90,95,80,95,95,95,95
2017,BR,BRA,Brazil,7,9,8,3,8,5,3,6,7,79,0.73,60.87,4.55,3.13,6,6,1,2,1,2,65,5,80,85,65,5,75,0,80,95,70,0,55,80,80
2017,CA,CAN,Canada,10,9,9,8,7,10,8,10,8,99,0.96,89.84,5.29,4.30,6,6,6,5,4,6,90,95,95,75,75,100,80,95,90,80,85,90,60,95,100
2017,CL,CHL,Chile,6,4,3,6,8,4,3,3,5,94,0.78,66.01,5.05,3.92,2,3,0,0,1,1,40,5,75,80,5,25,85,80,80,45,80,50,45,65,65
2017,CN,CHN,China,3,2,2,2,4,6,4,7,4,15,0.77,53.20,4.56,4.69,1,0,3,0,0,2,5,5,80,50,5,10,50,50,50,50,50,50,50,0,65
2017,CO,COL,Colombia,9,9,8,8,7,7,6,5,6,64,0.79,58.14,4.28,4.33,4,5,2,2,1,3,75,75,80,80,5,60,50,30,65,75,80,60,40,65,65
2017,CR,CRI,Costa Rica,4,4,2,7,3,4,5,3,3,91,0.64,66.03,4.96,3.65,0,1,0,0,0,1,45,5,65,65,5,5,50,5,65,60,60,45,75,65,30
2017,DE,DEU,Germany,8,7,5,8,6,9,7,8,8,95,0.84,89.65,5.65,4.71,3,2,3,0,1,7,100,65,80,95,45,50,70,80,80,75,60,80,90,65,45
2017,FR,FRA,France,9,9,9,9,7,9,9,9,8,90,0.94,85.62,5.14,4.40,6,5,4,4,5,9,70,5,100,80,5,95,80,95,75,95,95,95,75,95,90
2017,GB,GBR,United Kingdom,10,8,9,6,7,7,8,8,10,95,1.00,94.78,5.62,4.88,6,5,5,1,7,10,85,70,90,90,90,85,100,100,90,95,95,90,75,90,95
2017,GT,GTM,Guatemala,4,4,1,3,5,5,1,0,3,54,0.67,34.51,4.95,3.28,0,3,0,0,0,0,30,5,65,50,5,5,50,30,65,65,5,45,40,45,50
2017,ID,IDN,Indonesia,7,3,3,5,7,6,4,5,4,65,0.36,25.37,4.98,4.39,3,3,2,0,0,2,40,5,65,45,5,30,50,60,65,50,50,60,65,45,45
2017,IN,IND,India,7,7,8,3,6,8,8,7,6,77,0.75,29.55,4.35,3.99,3,3,3,1,1,8,25,5,60,80,5,60,50,65,75,60,30,55,55,65,45
2017,IT,ITA,Italy,6,7,7,9,5,7,2,5,3,89,0.87,61.32,4.53,3.30,2,4,2,0,2,6,50,50,100,80,5,65,70,95,45,40,70,40,80,65,65
2017,JP,JPN,Japan,9,7,7,9,6,9,7,7,6,96,0.88,93.18,5.52,4.94,6,5,7,3,5,9,95,35,100,80,5,95,95,70,80,60,75,75,60,95,5
2017,KR,KOR,South Korea,9,9,8,8,7,8,10,8,8,82,0.94,92.84,5.30,4.88,7,6,5,5,7,10,80,80,85,90,5,5,50,80,80,55,70,75,75,80,90
2017,MX,MEX,Mexico,9,9,9,9,9,8,9,9,8,65,0.85,59.54,4.60,3.90,7,8,5,4,5,8,60,5,80,95,75,85,50,55,90,75,60,60,55,65,100
2017,NZ,NZL,New Zealand,9,8,7,8,8,7,7,8,6,98,0.94,88.47,5.47,5.22,6,3,8,3,3,8,95,80,90,95,5,50,95,65,80,75,80,75,55,80,55
2017,PA,PAN,Panama,6,6,5,5,6,3,1,1,4,83,0.33,54.00,5.06,4.54,0,0,0,0,0,0,5,5,50,80,5,5,50,5,80,80,60,45,80,40,45
2017,PH,PHL,Philippines,6,7,6,8,3,7,3,1,5,63,0.67,55.50,4.67,3.98,3,4,3,3,2,3,45,5,80,65,5,25,50,30,50,45,40,40,25,60,65
2017,PY,PRY,Paraguay,6,3,5,2,4,5,3,0,4,64,0.60,51.35,3.96,2.90,1,3,1,3,0,1,60,50,45,95,5,40,50,5,80,25,5,40,5,80,85
2017,RU,RUS,Russia,7,7,7,6,6,4,8,8,6,20,0.73,73.09,4.37,3.82,3,7,0,0,2,7,30,30,65,100,5,5,50,60,95,60,60,80,80,65,100
2017,SA,SAU,Saudi Arabia,7,4,2,2,0,2,3,2,3,10,0.67,73.75,5.10,5.28,0,0,0,1,1,0,45,25,65,5,5,25,50,35,65,75,5,5,30,NA,50
2017,SL,SLE,Sierra Leone,6,3,1,3,6,4,4,0,3,66,0.12,11.77,3.55,3.90,0,2,2,2,0,0,5,5,45,50,5,5,45,5,25,30,30,40,5,50,5
2017,TR,TUR,Turkey,1,1,1,6,3,3,1,1,4,38,0.60,58.35,4.80,3.88,0,1,2,0,1,0,30,65,80,65,5,35,50,50,65,60,60,60,60,65,50
2017,UA,UKR,Ukraine,8,8,4,7,7,7,6,7,4,61,0.59,52.48,4.27,3.11,2,5,1,0,3,6,30,5,50,45,80,60,80,50,60,40,60,60,25,45,85
2017,UY,URY,Uruguay,9,7,6,9,8,8,7,5,6,98,0.78,66.40,4.42,4.09,4,6,1,2,1,3,65,80,80,95,95,5,50,95,75,65,65,30,70,80,95
2017,US,USA,United States of America,7,7,9,6,5,9,9,9,9,89,0.93,76.18,6.01,4.67,2,2,3,3,4,8,95,25,95,60,85,5,100,95,95,90,75,90,75,80,75
2017,ZA,ZAF,South Africa,4,1,2,7,7,7,5,6,4,78,0.56,54.00,5.01,3.22,0,3,2,3,0,5,5,5,80,80,5,15,50,30,60,25,25,60,5,65,45